Seq_ID,Cruise,Date,Sample_ID,Day,Month,Year,Depth,Treatment,Bottle,Timepoint,Time,Day2,Type1,Type2,Filter,Temp,Salinity,pH,DO,DIC ,TA,Bacteria,Cyanobacteria,BP,pCO2 ,Phosphate ,Silicate,Nitrite,Nitrate,Ammonia,DOC,TOC,Asp,Glu,His,Ser,Arg,Thr,Gly,BAla,Tyr,Ala,GABA,Met,Val,Ile,Leu,Lys,TDAA ave (nM),TDAA stdev,TDAA C (nM),DOC (uM),TDAA yield,Mol% BAla+GABA,Degradation index
DH178r,36,09/08/2018,B0,9,8,2018,1,S/S,B,T0,0.00,Day 0,Expt,Expt,Supor,30,36.17,8.48,148.13,,,8.75,,,,0.04,1.43,0.02,0.00,0.02,93.73,95.43,179.71,174.57,17.64,163.46,74.74,101.11,356.93,28.64,31.00,196.50,25.23,7.66,74.37,42.84,81.45,69.99,1625.85,14.51,6385.84,93.73,6.81,3.31,2.44
DH177ar,36,09/08/2018,C0,9,8,2018,24,S/D,C,T0,0.00,Day 0,Expt,Expt,Supor,21.8,0.00,0.00,5.94,,,17.09,,,,0.01,3.41,2.05,0.11,0.31,94.73,99.16,173.94,186.54,27.56,263.05,94.71,70.06,658.03,33.59,48.74,199.99,44.06,8.81,75.70,48.41,102.34,89.69,2125.21,293.57,7928.31,94.73,8.37,3.65,1.61
DH178ar,36,09/08/2018,D0,9,8,2018,24,S/D,D,T0,0.00,Day 0,Expt,Expt,Supor,21.8,36.08,7.95,5.94,,,17.23,,,,0.09,3.28,2.17,0.10,0.45,94.41,95.65,219.64,211.74,27.56,253.21,95.71,101.62,566.96,33.53,50.39,217.57,62.01,7.37,83.05,48.91,91.44,85.60,2156.32,149.02,8239.62,94.41,8.73,4.43,1.87
DH179r,36,15/08/2018,A8,15,8,2018,1,S/S,A,T8,5.80,Day 6,Expt,Expt,Supor,25.50,36.29,8.39,136.5625,,,9.56,,,,0.05,1.43,0.01,0.02,0.56,92.26,93.94,80.51,95.78,22.27,127.15,68.54,68.38,398.20,22.94,31.17,132.29,39.54,7.25,59.05,35.30,63.90,60.20,1312.47,52.63,4989.43,92.26,5.41,4.76,2.29
DH180r,36,15/08/2018,B8,15,8,2018,1,S/S,B,T8,5.80,Day 6,Expt,Expt,Supor,24.90,36.29,8.41,153.4375,,,9.33,,,,0.03,1.70,0.01,0.01,0.66,91.77,91.39,82.28,101.42,22.71,131.23,69.90,69.23,357.73,23.34,32.62,142.95,39.79,9.65,65.21,36.36,66.39,63.77,1314.58,79.98,5102.98,91.77,5.56,4.80,2.58
DH181r,36,15/08/2018,C8,15,8,2018,1,S/D,C,T8,5.80,Day 6,Expt,Expt,Supor,25.60,36.22,8.32,154.375,,,19.65,,,,0.13,4.60,3.73,0.07,1.46,89.75,91.61,49.20,49.26,7.86,70.23,27.16,35.35,209.08,29.14,10.31,77.07,14.96,3.39,25.09,9.74,18.87,21.93,658.63,116.81,2340.34,89.75,2.61,6.70,0.82
DH182r,36,15/08/2018,D8,15,8,2018,1,S/D,D,T8,5.80,Day 6,Expt,Expt,Supor,25.40,36.23,8.27,152.8125,,,20.36,,,,0.06,4.18,3.60,0.03,1.31,93.04,95.91,67.47,75.86,14.00,75.34,47.47,52.47,226.31,45.71,19.46,186.38,24.28,7.97,37.93,18.19,34.62,32.88,966.35,173.87,3618.73,93.04,3.89,7.24,1.14
DH183r,36,15/08/2018,E8,15,8,2018,24,D/S,E,T8,5.80,Day 6,Expt,Expt,Supor,22.40,36.01,8.25,140.9375,,,14.55,,,,0.03,3.13,2.22,0.12,1.08,90.59,89.91,72.30,90.38,11.29,99.27,49.64,63.85,247.85,23.74,24.34,118.29,20.50,6.85,52.54,29.61,56.33,46.37,1013.15,44.39,3973.58,90.59,4.39,4.37,2.84
DH184r,36,15/08/2018,F8,15,8,2018,24,D/S,F,T8,5.80,Day 6,Expt,Expt,Supor,22.40,35.98,8.13,152.8125,,,14.50,,,,0.01,3.26,2.18,0.08,0.67,96.22,96.13,66.90,62.31,8.75,73.21,38.26,57.01,205.45,27.08,15.83,102.74,23.10,7.77,39.46,19.60,39.83,32.69,820.01,104.98,3133.09,96.22,3.26,6.12,2.27
DH185r,36,30/08/2018,A13,30,8,2018,1,S/S,A,T13,20.84,Day 21,Expt,Expt,Supor,,,,,,,8.24,,,,0.01,1.76,0.01,0.04,0.68,83.50,82.44,,,,,,,,,,,,,,,,,,,,,,,
DH186r,36,30/08/2018,B13,30,8,2018,1,S/S,B,T13,20.84,Day 21,Expt,Expt,Supor,,,,,,,9.21,,,,0.00,1.68,0.03,0.02,0.79,77.77,80.06,,,,,,,,,,,,,,,,,,,,,,,
DH187r,36,30/08/2018,C13,30,8,2018,1,S/D,C,T13,20.84,Day 21,Expt,Expt,Supor,,,,,,,14.22,,,,0.00,4.23,3.59,0.11,2.08,83.58,81.28,,,,,,,,,,,,,,,,,,,,,,,
DH188r,36,30/08/2018,D13,30,8,2018,1,S/D,D,T13,20.84,Day 21,Expt,Expt,Supor,,,,,,,13.90,,,,0.17,4.57,6.31,0.00,0.00,78.30,82.63,,,,,,,,,,,,,,,,,,,,,,,
DH189r,36,30/08/2018,E13,30,8,2018,24,D/S,E,T13,20.84,Day 21,Expt,Expt,Supor,,,,,,,12.76,,,,0.02,3.41,2.59,0.12,0.96,83.15,77.46,,,,,,,,,,,,,,,,,,,,,,,
DH190r,36,30/08/2018,F13,30,8,2018,24,D/S,F,T13,20.84,Day 21,Expt,Expt,Supor,,,,,,,11.96,,,,0.02,3.28,2.36,0.17,1.06,81.03,80.54,,,,,,,,,,,,,,,,,,,,,,,
